Main Category,Name,Formula,ESI Mode,Calc. MW,RT [min],Annotation Level,ChemSpider ID,mzCloud ID,Mass List ID,General Classification,Sub-class,Comments
Metabolite,"(2S)-4-Methyl-2-({[(3S,4S,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}amino)pentanoic acid (non-preferred name)",C12 H23 N O7,ESI+,293.14638,1.191,1,35014874,,,"Amines, Amino Acids, and Proteins",Amino Acid Derivative,
Synthetic,Ethyl benzoylacetate,C11 H12 O3,ESI+,192.07807,10.529,1,6902,,,"Aldehydes, Ketones, and Related Compounds",,CAS: 94-02-0
Metabolite,2-Aminooctanoic acid,C8 H17 N O2,ESI+,159.1254,5.63,1,62727,,,Fatty Acids,Amide,
Metabolite,(S)-3-Methyl-2-oxopentanoate,C6 H10 O3,ESI+,130.0625,1.439,0,,,,"Aldehydes, Ketones, and Related Compounds",Oxoacetic Acid,
Metabolite,"Isoliquiritigenin 4,4'-diglucoside",C27 H32 O14,ESI+,580.17697,7.927,1,,,FL1C1AGS0005,Flavonoid,Aurone and Chalcone,
Metabolite,2-Isopropylmaleate,C7 H10 O4,ESI+,158.0573,4.483,0,,,,Organic Acids,,
Metabolite,Moghanin A,C23 H24 O13,ESI+,508.11987,9.074,1,,,FL3FF8GS0009,Flavonoid,Flavonol,
Metabolite,phenylpropiolic acid,C9 H6 O2,ESI+,146.03631,10.529,1,13848793,,,Non-Flavonoid Phenolics,Coumarin,
Synthetic,NP-015980,C14 H24 O6,ESI+,288.15621,9.224,0,,,,,,"Also named: (E)-3,10-Dihydroxy-4,9-dimethyldodec-6-enedioic acid"
Metabolite,3-Formylindole,C9 H7 N O,ESI+,145.05229,2.418,1,9838,,,"Amines, Amino Acids, and Proteins",Indole,
Metabolite,"Herbacetin 8- (2"",3"",4""-triacetylxyloside)",C26 H24 O14,ESI+,560.1146,8.113,1,,,FL5FFAGS0024,Flavonoid,Flavonol,
Metabolite,Syringate,C9 H10 O5,ESI+,198.05226,6.62,1,10289,,,Volatile Phenolics,,
Metabolite,Pro-Pro,C10 H16 N2 O3,ESI+,212.11531,0.909,1,231451,,,"Amines, Amino Acids, and Proteins",Amino Acid,
Metabolite,Taxifolin 3-acetate,C17 H14 O8,ESI+,346.06758,9.075,1,,,FL5FDJNS0001,Flavonoid,Flavonol,
Unmatched,3-Deoxy-D-manno-octulosonate 8-phosphate,C8 H15 O11 P,ESI+,318.03407,4.358,0,,,,,,
Metabolite,3-Hydroxybenzoate,C7 H6 O3,ESI+,138.03123,4.857,0,,,,Organic Acids,Benzoic Acid,Cross-referenced with old validated data
Metabolite,"(2R,3R)-2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-3,4-dihydro-2H-chromen-3-yl hydrogen sulfate",C15 H14 O9 S,ESI+,370.03441,1.029,1,59696629,,,Flavonoid,Flavonol,
Metabolite,"L-Galactono-1,4-lactone",C6 H10 O6,ESI+,178.04704,1.553,0,,,,Esters,?-Butyrolactone,
Metabolite,g-Butyrobetaine,C7 H15 N O2,ESI+,145.10974,2.426,1,705,,,"Amines, Amino Acids, and Proteins",Amino Acid Derivative,
Unmatched,5-Acetamidovalerate,C7 H13 N O3,ESI+,159.08896,4.425,0,,,,,,
Metabolite,N6-Acetyl-L-lysine,C8 H16 N2 O3,ESI+,188.11542,1.2,0,,,,"Amines, Amino Acids, and Proteins",Amino Acid Derivative,
Unmatched,NP-019722,C8 H13 N O4,ESI+,187.08381,1.217,0,,,,,,
Unmatched,Pimelate,C7 H12 O4,ESI+,160.07297,5.172,0,,,,,,
Metabolite,NP-019636,C9 H8 O4,ESI+,180.04167,2.792,1,,6243,,Non-Flavonoid Phenolics,Caffeic Acid,
Synthetic,ethyl 2-benzylbutyrate,C13 H18 O2,ESI+,206.13006,6.601,1,3544,,,Drug,,
Metabolite,"1-[2-(3-Hydroxy-1-propen-2-yl)-2,3-dihydro-1-benzofuran-5-yl]ethanone",C13 H14 O3,ESI+,218.09362,7.759,1,22370124,,,Other,,
Metabolite,(2Z)-N-(4-Aminobutyl)-3-(4-hydroxy-3-methoxyphenyl)acrylamide,C14 H20 N2 O3,ESI+,264.14646,4.917,1,30777006,,,Phenolics,,
Metabolite,Acetophenone,C8 H8 O,ESI+,120.05706,4.408,1,,2744,,"Aldehydes, Ketones, and Related Compounds",Methyl Ketone,Cross-referenced with old validated data 
Unmatched,NP-011220,C11 H18 N2 O2,ESI+,210.13617,6.894,0,,,,,,
Unmatched,3-(4-Hydroxyphenyl)lactate,C9 H10 O4,ESI+,182.05738,6.627,0,,,,,,
Metabolite,N~6~-Octanoyllysine,C14 H28 N2 O3,ESI+,272.20898,8.867,1,35032089,,,Fatty Acids,Amide,
Metabolite,(2E)-N-(4-Amino-2-hydroxybutyl)-3-(4-hydroxy-3-methoxyphenyl)acrylamide,C14 H20 N2 O4,ESI+,280.14133,10.192,1,35013609,,,Non-Flavonoid Phenolics,,
Synthetic,Palmidin A,C30 H22 O8,ESI+,510.13336,6.799,1,4478485,,,Exogenous Metabolite,,
Unmatched,Glutarate,C5 H8 O4,ESI+,132.04176,1.555,0,,,,,,
Synthetic,Butyric anhydride,C8 H14 O3,ESI+,158.09375,8.37,1,7510,,,Industrial Chemical,,
Metabolite,Succinyladenosine,C14 H17 N5 O8,ESI+,383.1063,4.615,1,17216022,,,Nucleotides,,
Unmatched,NP-016455,C11 H18 N2 O4,ESI+,242.12581,6.405,0,,,,,,
Metabolite,?-Aspartylleucine,C10 H18 N2 O5,ESI+,246.12072,3.051,1,4476497,,,"Amines, Amino Acids, and Proteins",Amino Acid Derivative,
Metabolite,"N-Succinyl-L,L-2,6-diaminopimelate",C11 H18 N2 O7,ESI+,290.11036,1.83,1,35032427,,,Organic Acids,,
Synthetic,5-(2-Hydroxyethyl)-4-methylthiazole,C6 H9 N O S,ESI+,143.04008,1.674,1,1104,,,Industrial Chemical,,
Metabolite,"(2S)-3-Phenyl-2-({[(3S,4S,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}amino)propanoic acid (non-preferred name)",C15 H21 N O7,ESI+,327.13068,1.969,1,35014483,,,"Amines, Amino Acids, and Proteins",Amino Acid Derivative,
Metabolite,"5,3',4',5'-Tetrahydroxy-6,7-dimethoxyflavone",C17 H14 O8,ESI+,346.0676,7.1,1,,,FL5FDJNS0001,Flavonoid,Flavone,
Metabolite,Neoisoliquiritin,C21 H22 O9,ESI+,418.12486,7.926,1,,,FL1C1AGS0003,Flavonoid,Aurone and Chalcone,
Metabolite,Phloionolic acid,C18 H36 O5,ESI+,332.25497,12.078,1,4446065,,,Fatty Acids,Carboxylic Acid,
Metabolite,Urate,C5 H4 N4 O3,ESI+,168.02769,0.85,1,1142,,,Nucleotides,,
Metabolite,3-O-Methylgallate,C8 H8 O5,ESI+,184.03642,1.29,0,,,,Flavonoid,Anthocyanin,
Metabolite,N-(4-Methoxybenzyl)glutamine,C13 H18 N2 O4,ESI+,266.12578,1.475,1,23255166,,,"Amines, Amino Acids, and Proteins",Amino Acid Derivative,
Metabolite,FL64DBGM0001_a,C19 H22 O5,ESI+,330.14548,8.853,1,,,FL64DBGM0001_a,Plant Hormone,Growth Regulator,Cross-referenced with old validated data 
Metabolite,(S)-2-Amino-6-oxohexanoate,C6 H11 N O3,ESI+,145.07334,2.311,0,,,,"Amines, Amino Acids, and Proteins",Amino Acid,
Metabolite,"2,3-Dihydroxy-4-decynoic acid",C10 H16 O4,ESI+,200.10423,8.338,1,20198,,,Organic Acids,,
Metabolite,"Taxifolin 7,3'-dimethyl ether",C17 H16 O7,ESI+,332.08839,6.759,2,9431045,,FL2F3GGS0001_a,Flavonoid,Flavone,
Unmatched,Betaxanthin,C18 H20 N2 O6,ESI+,360.13079,2.936,0,,,,,,
Unmatched,"(2R,3S)-3-Isopropylmalate",C7 H12 O5,ESI+,176.06782,5.254,0,,,,,,
Metabolite,L-Quinate,C7 H12 O6,ESI+,192.06265,0.786,0,,,,Carbohydrates,,
Metabolite,4-Coumarate,C9 H8 O3,ESI+,164.04693,10.531,1,553148,,,Non-Flavonoid Phenolics,,
Metabolite,"6,7,3',4'-Tetrahydroxyaurone 6- (4"",6""-diacetylglucoside)",C25 H24 O13,ESI+,532.11987,9.534,1,,,FL5FAAGS0112,Flavonoid,Aurone and Chalcone,
Metabolite,3-Phenylpropionylglycine,C11 H13 N O3,ESI+,207.08884,6.197,1,67404,,,"Amines, Amino Acids, Proteins",Amino Acid,
Unmatched,"(3aR,7aS,8S,9aR)-5,8-dimethyl-3-methylidene-2H,3H,3aH,4H,6H,7H,7aH,8H,9H,9aH-azuleno[6,5-b]furan-2,6-dione",C15 H18 O3,ESI+,246.12474,5.565,0,,,,,,
Metabolite,N-Acetyl-L-leucine,C8 H15 N O3,ESI+,173.10451,5.779,1,64075,,,"Amines, Amino Acids, Proteins",Amino Acid,
Metabolite,(3S)-3-[(3-Hydroxybutanoyl)oxy]-4-(trimethylammonio)butanoate,C11 H21 N O5,ESI+,247.14107,7.139,1,35032578,,,Esters,,
Unmatched,"(4S)-4-hydroxy-3,5,5-trimethyl-4-[(1E)-3-{[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}but-1-en-1-yl]cyclohex-2-en-1-one",C19 H30 O8,ESI+,386.19257,6.602,0,,,,,,
Metabolite,"5,8,12-Trihydroxy-2-oxododecanoic acid",C12 H22 O6,ESI+,262.1407,7.675,1,35013400,,,Fatty Acids,Others,
Metabolite,(R)-Pantothenate,C9 H17 N O5,ESI+,219.10987,4.187,1,6361,,,"Amines, Amino Acids, and Proteins",Amide,
Unmatched,"(2R)-2-[(2R,5S)-5-[(2S)-2-hydroxybutyl]oxolan-2-yl]propanoic acid",C11 H20 O4,ESI+,216.13533,11.448,0,,,,,,
Synthetic,Butyl Parahydroxybenzoate,C11 H14 O3,ESI+,194.09365,9.93,1,6916,,,Industrial Chemical,,
Metabolite,"4-Octyl-1,3-cyclopentanedione",C13 H22 O2,ESI+,210.16128,9.877,1,55049,,,Organic Acids,Propanoic Acid,
Metabolite,Butyl butyryllactate,C11 H20 O4,ESI+,216.13532,12.355,1,15037,,,Fatty Acids,Carboxylic acids,
Unmatched,"5-[4-(3-hydroxy-4-methoxyphenyl)-hexahydrofuro[3,4-c]furan-1-yl]-2-methoxyphenol",C20 H22 O6,ESI+,358.14031,9.51,0,,,,,,
Metabolite,Azelaic acid,C9 H16 O4,ESI+,188.10419,10.355,1,2179,,,Fatty Acids,Carboxylic acids,
Metabolite,Uvarinol,C36 H30 O7,ESI+,574.20045,6.741,1,,,FL2FA9NC0004,Flavonoid,Flavanone,
Metabolite,FL6FCFGS0001_a,C18 H20 O5,ESI+,316.12993,7.648,1,,,FL1DCANM0002,Flavonoid,Aurone and Chalcone,
