Name,Area: CAB17BM01.raw (F9),Area: CAB17BM02.raw (F10),Area: CAB17BM03.raw (F11),Area: CAB17BM04.raw (F12),Area: CAB18B01.raw (F17),Area: CAB18B02.raw (F18),Area: CAB18B03.raw (F19),Area: CAB18B04.raw (F20),Area: CAB18CAL01.raw (F21),Area: CAB18CAL02.raw (F22),Area: CAB18CAL03.raw (F23),Area: CAB18CAL04.raw (F24),Area: CAB19CALA01.raw (F33),Area: CAB19CALA02.raw (F34),Area: CAB19CALA03.raw (F35),Area: CAB19CALA04.raw (F36),Area: CAB19CALB01.raw (F37),Area: CAB19CALB02.raw (F38),Area: CAB19CALB03.raw (F39),Area: CAB19CALB04.raw (F40),Area: CAB20CAL01.raw (F65),Area: CAB20CAL02.raw (F66),Area: CAB20CAL03.raw (F67),Area: CAB20CAL04.raw (F68),Area: CCALP.raw (F91),Area: CAB19FRAA01.raw (F41),Area: CAB19FRAA02.raw (F42),Area: CAB19FRAA03.raw (F43),Area: CAB19FRAA04.raw (F44),Area: CAB19FRAB01.raw (F45),Area: CAB19FRAB02.raw (F46),Area: CAB19FRAB03.raw (F47),Area: CAB19FRAB04.raw (F48),Area: CAB20FRAA01.raw (F69),Area: CAB20FRAA02.raw (F70),Area: CAB20FRAA03.raw (F71),Area: CAB20FRAA04.raw (F72),Area: CAB20FRAB01.raw (F73),Area: CAB20FRAB02.raw (F74),Area: CAB20FRAB03.raw (F75),Area: CAB20FRAB04.raw (F76),Area: CFP.raw (F92),Area: CAB17HP01.raw (F13),Area: CAB17HP02.raw (F14),Area: CAB17HP03.raw (F15),Area: CAB17HP04.raw (F16),Area: CAB18HP01.raw (F29),Area: CAB18HP02.raw (F30),Area: CAB18HP03.raw (F31),Area: CAB18HP04.raw (F32),Area: CAB19HPA01.raw (F53),Area: CAB19HPA02.raw (F54),Area: CAB19HPA03.raw (F55),Area: CAB19HPA04.raw (F56),Area: CAB19HPB01.raw (F57),Area: CAB19HPB02.raw (F58),Area: CAB19HPB03.raw (F59),Area: CAB19HPB04.raw (F60),Area: CAB20HP01.raw (F81),Area: CAB20HP02.raw (F82),Area: CAB20HP03.raw (F83),Area: CAB20HP04.raw (F84),Area: CAB21HP01.raw (F85),Area: CAB21HP02.raw (F86),Area: CAB21HP03.raw (F87),Area: CAB21HP04.raw (F88),Area: CAB15HPN01.raw (F1),Area: CAB15HPN02.raw (F2),Area: CAB15HPN03.raw (F3),Area: CAB15HPN04.raw (F4),Area: CAB16HPN01.raw (F5),Area: CAB16HPN02.raw (F6),Area: CAB16HPN03.raw (F7),Area: CAB16HPN04.raw (F8),Area: CAB19HPN01.raw (F61),Area: CAB19HPN02.raw (F62),Area: CAB19HPN03.raw (F63),Area: CAB19HPN04.raw (F64),Area: CAB19HC01.raw (F49),Area: CAB19HC02.raw (F50),Area: CAB19HC03.raw (F51),Area: CAB19HC04.raw (F52),Area: CAB18HCH01.raw (F25),Area: CAB18HCH02.raw (F26),Area: CAB18HCH03.raw (F27),Area: CAB18HCH04.raw (F28),Area: CAB20HCH01.raw (F77),Area: CAB20HCH02.raw (F78),Area: CAB20HCH03.raw (F79),Area: CAB20HCH04.raw (F80),Area: QCC1.raw (F105),Area: QCC2.raw (F106),Area: QCC4.raw (F108),Area: QCC5.raw (F109),Area: QCC6.raw (F110),Area: QCC7.raw (F111)
DL-Carnitine,85149690.85,86038052.8,89305177.37,85218095.96,69193281.85,71989406.95,72196021.36,75401614.68,64516132.7,64758795.56,65393026.75,68049805.71,39283649.77,38170136.41,43453389.7,41118496.45,46733624.84,45353624.54,48907214.9,47035946.85,60997677.97,60177272.88,60009707.28,54752581.2,50343312.24,80609780.62,79497146.53,81256198.66,80520350.1,83119035.48,84184644.16,83351269.2,82652274.67,52175888.56,52683331.46,54877233.09,51205912.2,52811268.79,51355426.21,48694079.23,45227910.26,69231123.41,56088235.57,60304309.49,55389947.3,52143169.02,62530577.26,58973500.68,59426648.4,62927637.32,90295003.17,88543196.99,93039518.78,89437733.25,39997577.67,47555366.68,43768716.5,30511179.71,43884428.95,45183457.54,43090742.6,47448424.51,60715207.69,61915815.79,59563201.31,62710186.64,110217465.8,113121934.8,111650958.0,109098874.5,108551162.7,112771476.5,110554301.0,108728404.7,104128180.0,104693393.9,108205897.7,111956643.3,202961420.5,219598851.9,177900478.9,200576038.6,240575481.2,232684474.4,236965312.2,236176868.3,308981229.2,296652108.3,306206376.1,291274488.4,115866839.4,112152101.1,123066078.0,120279584.0,111511519.9,124987441.4
"(2Z,4Z)-2-Hydroxyhexa-2,4-dienoate",156451197.0,159520522.9,156803698.3,163074927.3,103214554.0,101751902.6,99825820.84,101171200.0,124512500.0,130002499.4,126694083.5,129117877.3,84099315.98,79389501.4,81534798.23,78071533.01,137563658.2,126617584.0,134085114.3,134846807.6,83583092.88,82113349.94,86181877.54,83295370.03,102103989.3,68790536.56,64357031.55,67152828.86,58608596.41,81660813.13,79534681.26,81267777.14,77943824.47,73067946.31,67072097.58,77186457.39,71106264.23,59854927.48,54944649.01,58025344.62,53132245.4,71581809.91,159897627.2,147005362.1,153516784.7,146279909.0,106112285.1,107024570.9,103704822.2,115936953.5,189007844.7,179238461.0,189933917.3,182018435.8,87793711.34,90039238.56,85492597.85,97444675.92,101971718.9,102529806.6,101060204.1,102872306.8,65444154.17,71427269.67,67050853.95,73398864.82,230201978.9,222733576.0,238114733.6,227472212.5,204195494.6,216282860.1,196334735.8,203905044.4,187225132.6,196647470.4,184027568.8,200959389.2,206284365.9,195668286.7,202969472.3,194579631.5,204551341.0,198352422.4,208842259.4,195965416.1,187007832.9,180515813.4,187776015.6,178557263.5,176911379.8,141915371.7,116766220.4,97754538.54,85481254.63,67474743.65
"1-{[(3S,4S,5R)-2,3,4-Trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}-2-pyrrolidinecarboxylic acid (non-preferred name)",178032971.2,174317414.5,179911305.4,160043516.9,125300527.4,119562792.8,130204819.8,112511415.2,63599524.59,62223112.55,65130698.81,59918008.66,90230624.49,93920018.06,91573029.33,96440405.71,110704152.6,115131648.2,113427120.3,112338623.2,127775254.8,132854832.0,128122754.9,129071601.3,100014166.7,32397857.43,34115422.57,32150295.75,34971149.19,42361422.86,40832973.17,42081568.92,43428054.32,48041718.14,50405537.15,49374338.21,52685983.84,23131133.07,26270966.35,23328625.39,24862814.29,36496414.65,224205587.7,230614309.4,231182887.4,236943243.7,138981970.1,136372825.7,138469515.6,130008236.4,120205822.5,119491287.6,124254419.9,132065093.1,194384639.8,195554914.0,200678942.9,155261663.5,139224214.2,131230347.9,130241696.1,131512197.2,142856281.6,122967640.8,138051242.1,125743279.8,212502933.3,219842128.5,205767394.5,209472440.5,109512316.4,109127643.4,107789756.8,103026035.4,131043564.7,121088207.7,133626267.3,125682420.2,77808213.13,89679037.64,65394462.43,90950331.0,97991642.32,102413719.5,102276247.9,111823682.7,60429963.51,62420039.82,58254036.94,61430774.65,132145895.0,124326833.6,122177803.0,123081426.2,122670071.0,115769888.8
"4,8-Dimethylquinoline",33785750.3,35436371.67,34064123.16,15110693.35,71841427.63,76049609.3,69362155.7,76005333.43,56609188.21,59230673.39,55020266.16,59880463.86,27919758.87,28608911.22,29125307.9,27720102.4,26908917.59,26871349.41,28050222.34,28667784.66,32685389.07,30307090.28,31173169.15,29583075.47,37755322.51,60041039.64,58311867.04,60946728.71,57862158.32,47490589.07,45867012.04,45886037.61,45559865.29,49534145.42,47921086.81,49659808.11,47258636.99,19282375.08,18845010.68,20050926.2,17834619.2,28526619.91,112219051.9,106475112.3,110360810.7,107480455.6,230297989.9,210366403.4,208658998.7,213937494.6,48806573.84,46439483.07,49464450.74,47644310.37,114569344.3,117685569.7,115040254.2,119674631.1,98920646.67,102469842.9,100554514.9,100037754.3,106296443.1,105877447.8,104101995.7,102984540.8,25854210.53,25939314.83,26244215.34,25489030.95,28650212.34,29693014.02,28958849.99,27617489.66,54296844.37,56561489.76,55514617.37,55794413.58,43337822.35,39464662.38,43174121.06,43081342.87,80211957.57,77495346.19,80106554.82,79936863.53,55768621.54,51925170.81,52785701.66,51834325.19,57335949.89,55065075.38,63933649.13,69860370.34,56257512.61,57479765.85
Stachydrine,64285913.97,64853165.1,67327911.8,64602914.03,42624064.84,43697876.46,46292207.71,46926857.35,50697546.4,48215869.33,52255432.49,47655758.95,40732561.17,40751713.8,41494546.0,32973091.95,35315197.02,29803928.86,38805698.29,38269921.68,25123561.95,25227105.38,20462119.53,21448152.12,37812467.17,55838100.29,55944827.9,52014669.67,53578652.09,72103096.28,74075076.72,71870556.42,73021993.24,48401768.18,49760469.03,48549443.36,49979877.05,40722491.69,41983765.12,38589642.16,26843907.92,52921762.0,36657393.66,29557917.19,40318513.8,36805094.16,141149915.7,145348555.3,152081346.2,139901067.0,32414250.89,27148441.21,36461466.72,36276270.01,53945544.26,50709205.18,49911758.03,36251487.34,26019182.31,43778512.57,24138108.82,44048325.56,84864678.86,75281236.52,81775952.98,75382563.86,190423308.0,206607406.1,191008755.1,194798296.6,177634028.0,177117849.5,181457673.5,169824137.2,39997660.31,55951999.63,38955514.76,41229269.35,24394999.23,27462008.55,24119785.69,26291863.03,51201804.88,29261446.95,54067535.51,58041686.03,46252247.12,48520491.38,46694317.93,20681298.0,58313193.34,43868113.62,68482787.83,48019447.23,47066352.96,51037425.91
Mesaconate,129422179.6,134310415.0,132168544.3,132235683.2,81943818.19,88294007.24,83183718.28,84865378.0,122132342.6,127264897.6,123193972.1,131465610.1,107288781.0,101805614.6,108034294.2,99108139.99,135716728.5,134274446.2,137736512.0,138999233.6,124217668.4,118049434.3,128681272.7,121355500.6,121470736.6,68098485.91,59593785.4,65950147.36,62507429.62,72192921.73,68594534.26,70986843.2,65566213.96,74247377.05,73092644.12,75715363.68,65811910.8,79404888.88,68580199.76,80185619.27,70957426.11,70221212.96,88111685.52,87906209.85,88655484.92,86977314.64,150444418.8,146089683.8,138869157.6,155617179.0,153559134.1,151216514.1,143867488.6,144091078.1,115562135.0,126968492.3,120741906.8,156271433.5,103479182.4,109575182.9,97923689.29,108423420.2,112250469.4,114899415.8,111167219.2,110147297.5,104558332.3,103450420.9,103096906.6,104090027.9,114505630.9,123177553.9,124850580.2,118950088.7,128645811.0,127337777.9,127920188.6,132819935.1,76409995.89,69204484.84,75605768.35,70211468.55,186877655.0,181286923.1,189203548.7,180406112.2,124297869.4,117473392.8,121376930.3,120421737.3,112869850.5,97758068.15,111832230.3,115957063.8,117413520.6,123710255.0
[Similar to: NP-008521; ?Mass: -127.0638 Da],114966868.3,111444228.0,113949535.5,107729147.7,95813429.26,95739201.24,96642782.82,91387392.15,103393182.0,97140736.13,98689353.89,100562455.0,59301942.5,57969235.73,57550108.69,56927059.52,39940594.27,40667582.51,41479639.59,41921401.93,101140499.2,108632123.2,105450217.3,107445006.3,80961726.18,119245852.5,122645166.6,120351728.2,119700355.0,120521010.9,121808800.1,117282731.3,120843581.9,118234078.3,119580345.6,118132401.4,118883415.1,49907578.37,51125027.23,49778968.71,52709189.3,104573604.7,150096614.8,142947642.5,155435147.1,154180495.3,167705715.8,170075736.4,171243182.8,170877556.0,74120207.89,73338852.66,74223466.19,73224693.02,118102889.8,120199411.8,121331099.3,99609511.43,121629491.0,120392349.1,117874049.0,118492781.9,167289317.9,163413664.3,161321744.4,159944229.0,73775256.93,74832945.98,72801023.18,73709746.07,25995415.08,24845486.68,24605900.17,24432392.6,32835081.02,33284513.31,32332261.1,31810509.98,73318180.38,74043017.24,75042207.45,79331210.76,147763155.0,149322465.9,147170231.9,156674947.0,107774605.2,109440334.9,107169302.5,107878736.3,100439502.5,98767828.27,113048571.0,111599858.4,100198602.9,102232479.1
Diethyl 2-hydroxypentanedioate,53834526.81,62051746.54,59316509.48,69267161.03,67579606.1,78513984.34,67593278.39,76688423.71,43677355.75,49482306.48,41676966.4,48175342.04,28868892.53,26015930.76,34053060.11,25821763.24,32522858.13,28466030.0,32939257.98,36646792.39,25489116.96,23154874.99,26089334.29,22108680.64,30638627.42,25237286.33,21280800.49,21504328.64,20971430.75,36804522.45,31553556.75,33071570.51,31054226.65,29989856.8,24320114.68,29954565.51,24327463.89,26203317.73,21836035.87,26126993.56,20986022.52,30451689.92,135901020.5,122817071.4,134782705.3,127858166.0,135332885.8,123690206.7,125277081.3,132473407.5,78654155.32,70427862.5,81148828.9,75234928.08,98818084.45,107667651.9,97094953.74,106797008.4,18909978.44,20714042.35,19054380.9,20391965.38,12366311.14,14966926.39,13061390.85,14832156.44,102249667.8,101521980.0,104261596.0,98330548.17,131822986.9,154890117.3,135250643.4,147551492.7,80620388.73,91701293.75,86638665.24,91238177.58,56689267.82,48109368.3,54211481.07,54569459.43,141134460.2,124044392.7,153956301.1,126105140.4,99523718.98,87439931.6,95994790.57,87222153.14,65135831.61,75653893.44,88569480.2,91697675.05,35232618.97,41139103.03
diethyl oxalpropionate,103365649.1,104426170.7,99358891.02,100585613.4,67415860.12,70522368.43,65466024.85,68318735.89,94778591.8,100451715.4,93601312.97,101352550.4,70541222.98,67084520.66,71622431.4,67834085.31,106331399.2,105293911.4,113879210.1,111558537.2,65682319.25,67855041.63,64186695.32,63466268.24,89802375.63,37143421.5,35376690.72,39537749.72,39552942.93,48195899.66,45828154.93,48938626.17,46089871.4,41145505.67,41817045.29,43676248.83,38846151.95,30065157.95,28873038.69,30215490.71,28925239.17,39565120.81,89621034.91,85423019.96,87215232.53,84509594.67,71397243.33,71491226.05,66480127.0,70692395.25,134924690.8,126796672.9,132410233.8,127292925.6,52567212.18,56068066.16,55357504.72,61778495.46,61636650.47,63847483.22,61756024.98,62912602.38,47589801.69,48068976.1,45935445.08,47817914.66,108789274.5,107695203.5,109404637.5,101203226.9,138073021.6,136776903.2,130638235.7,136110153.0,133003896.9,137026964.8,139157969.1,139404855.2,129065853.1,122796424.2,130137482.2,129687213.9,145564495.3,141887351.6,146406876.5,143685112.1,113249201.6,110924610.8,107498995.2,107023124.4,121364715.8,91240581.72,90976013.11,89391361.94,94325846.18,97201533.61
"(2S)-4-Methyl-2-({[(3S,4S,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}amino)pentanoic acid (non-preferred name)",42691640.48,43696600.67,41575321.58,46508007.76,30061967.11,50479029.55,28889428.79,51306149.95,25533111.49,29141042.54,25471042.56,48326042.29,29437888.66,52845689.72,53986305.84,28613880.04,69492071.28,34477114.51,69679689.59,68576345.33,68850458.42,34096500.13,68768834.5,33445787.15,31117907.61,21482019.73,23458292.32,22536113.26,13901453.41,13881512.9,20606430.32,21707735.26,21944601.74,24992785.5,14163034.53,24301043.07,14109008.39,14211977.24,9661643.626,13904379.25,7820787.947,20004122.47,49800713.78,47699363.34,89731465.81,46818035.18,45285608.36,76099007.38,74666869.35,74655159.54,65348150.06,40651869.97,64110069.92,38329965.51,62314140.8,115775327.7,62503668.88,97752502.83,46573834.58,67428851.24,42790050.29,68083013.43,49530131.93,66738231.76,49232996.27,68896354.05,142001206.1,66362307.72,66758056.79,69040887.74,26375382.07,57916090.53,27751177.75,58670910.35,47035871.92,82153887.3,45164587.72,80663590.65,28831019.3,25258450.95,43167144.6,24336236.7,114027386.4,70162177.77,114683094.1,71875891.24,62834391.64,37163234.08,39160500.73,35007234.03,39974319.14,34802989.08,41070883.13,39622788.44,41155188.99,73847881.41
Ethyl benzoylacetate,54385140.38,52919050.71,53477156.0,52695748.85,18658483.12,19352398.91,19095584.16,19450143.06,21234918.63,22954609.59,21859442.0,22610503.81,16323835.17,15415753.71,17038480.95,15807050.58,36960656.37,38279195.92,37831298.83,36645148.19,17675079.69,17967908.11,17689151.83,17096440.05,24452944.62,45386006.17,44770656.19,45702991.75,44939364.17,107681285.4,103787810.4,109343883.6,107058537.0,49997815.98,49725287.81,51112369.57,50959926.05,17241280.29,16504156.22,17302325.73,16744060.24,55190144.66,29184763.46,28700093.07,30261292.02,28956161.96,72522978.7,73529436.94,71811467.39,74089730.39,34323733.56,33666419.73,32776423.47,33050669.37,52583957.27,53634368.57,53918818.83,51722632.08,46536908.79,47704417.57,46800878.7,49041264.27,65138598.09,62697703.86,60425841.96,61481676.8,42859496.12,43377714.48,42999170.72,41005537.67,14668175.64,15586306.33,15699416.12,14674626.64,24718526.53,24858677.71,25281141.06,23962431.52,54308350.6,56327329.93,56358801.59,57487306.96,101443237.1,103603684.7,101836603.9,103821514.1,62098277.12,61501532.51,62884192.0,62295834.04,48185643.74,45516261.54,48465506.59,51170871.3,45009171.57,46696403.03
2-Aminooctanoic acid,49596961.61,53437451.43,44572632.0,47868092.43,75436401.58,81823439.03,72564087.83,79270228.52,85574758.75,92831701.71,83015950.16,91893363.03,76689358.24,70515660.27,77216151.98,69467713.76,53934256.92,46139777.53,53596928.88,56353722.31,100227594.0,90463234.86,94122006.16,84073987.04,74119274.46,78995919.87,66948022.21,74448608.53,66470336.85,86717849.86,73806476.95,78502274.27,70711554.57,102203774.5,91052426.41,98759161.79,89704488.03,73680648.01,68043775.54,67685585.99,62526874.08,82334045.73,91564734.02,84579893.67,91261632.76,83904903.66,97063112.5,83053266.48,80402948.32,87233835.41,31359971.79,29682316.78,32820040.71,30074415.85,77025095.56,107868523.4,68416118.4,79579264.41,81914805.86,84502607.05,78408707.95,82173453.3,104358461.8,95050236.81,84654791.08,90646589.04,60516781.18,50475070.23,53558427.41,47676290.78,29876140.55,28157101.98,21683992.89,26770446.09,42252247.54,44669014.96,39064595.65,42792261.16,68503619.35,61270976.58,67393002.23,61415551.32,62877664.96,54505310.11,60107109.29,52308898.37,75860211.31,64781189.43,64182194.31,63020946.91,68066036.2,65347354.47,68158822.5,69410372.21,59410961.26,75603702.16
(S)-3-Methyl-2-oxopentanoate,29335109.88,29811339.21,29344973.39,30740733.99,27058405.98,26864433.0,27123544.34,29047458.98,37711660.06,37419999.06,37425518.29,37129943.99,31590018.17,28589011.35,31122407.72,28400358.49,33934488.55,34274420.37,35260215.23,35559416.67,32479895.52,32933332.03,32004047.22,31506634.37,33370059.31,23198200.64,20998445.31,21576330.49,20385596.6,14362559.88,15507573.62,14361245.67,15489129.32,16274767.25,17351585.79,16984052.89,17698109.79,12894563.27,12599595.36,14063536.26,13579011.48,16954957.16,8353195.305,9142049.28,9071894.353,8989753.314,10413530.3,11264861.71,11509160.39,10531792.48,63755393.53,62206778.37,63229051.58,60143221.65,14765046.53,14511086.38,14453345.25,16704119.79,33240769.78,29188805.64,28044428.82,27974628.56,22743458.7,23217580.86,22611896.28,21989790.42,12928170.37,13252277.83,13697883.5,13285862.96,48456453.72,52532304.66,49996178.86,55000363.22,46184621.28,50280073.32,47877724.83,47114458.05,42636362.56,40887372.34,39627831.99,42381847.13,105070736.5,90975632.73,102763986.9,89434744.11,34335454.14,33549834.4,34666480.47,35994324.65,29067026.07,34798815.34,36804588.83,39207803.3,37355508.02,37376195.02
"Isoliquiritigenin 4,4'-diglucoside",49521893.46,50315127.6,50782114.77,51003467.87,39185338.71,44981550.18,40177576.21,42956491.21,48140520.53,53020857.96,47586480.15,53306361.68,50152217.09,47270235.24,50838904.55,45024774.44,44932580.46,42308418.37,47206539.67,44965685.55,35172306.26,30717332.19,33812818.88,31855836.74,42264988.93,59072291.66,55352569.11,63479536.9,59141270.57,51003203.88,46017785.94,52419496.48,45710312.68,56398808.02,52100967.91,58334430.03,52230784.46,88682420.26,79595857.55,88237971.05,81269770.85,65135684.53,20815990.47,18407047.43,20122139.62,18400025.74,16609003.7,16739556.02,16916326.86,17352577.34,39421155.21,38450110.73,39895080.75,37574842.26,34281707.46,37011660.86,34582187.95,33390032.92,35407620.47,39049040.01,36158914.49,42452861.08,54088136.21,62331732.51,55539473.06,58466706.27,56320536.22,53674716.53,55283642.36,53930497.75,40351597.21,43253483.25,41040695.42,42221753.87,33030842.76,34969663.55,32109460.04,34714619.86,80666477.78,78057028.78,83033249.34,81804523.5,61459265.28,57980997.22,59815852.27,59963604.94,45301992.03,43559379.21,46935457.89,42391371.91,49336195.12,47056398.57,54398605.74,55101962.64,57294852.83,64913056.69
2-Isopropylmaleate,39791712.82,43150732.46,41468308.49,42563013.25,50761788.49,54175686.88,50363825.25,51262300.6,61201138.03,64351103.95,61355872.02,62803571.91,52809091.64,49214561.59,53257325.48,48523011.83,62079802.08,59469136.46,62973309.15,62864517.92,61630266.63,59068704.12,62370484.98,60307072.26,58658533.04,29431166.64,29175455.08,29432015.97,28948726.94,33140435.04,33248530.53,33102396.16,32390252.0,37393340.69,35668173.07,37954940.06,36272313.18,34772075.1,33242312.09,33972997.85,33495070.95,32058095.29,47033076.87,44401367.39,46308234.93,44923769.92,70992322.76,66304468.84,70018158.57,72044607.43,74438267.75,68215505.63,71478825.62,68563826.79,64405473.58,67088760.79,63223224.58,76118429.94,45580124.92,44362430.77,42581986.27,40933151.9,41082623.44,41761938.19,40080840.65,40094055.99,58897182.49,56889308.0,57338158.91,57782338.28,57117613.97,58184081.57,57429091.54,58818758.33,58625589.79,56533786.89,56742031.53,60621374.38,23250375.48,25267969.56,24153826.21,24964333.32,85685707.89,79847706.51,84386319.36,81804296.25,62503850.64,59358576.41,60455671.15,59988606.75,36944291.64,49326689.3,59244566.09,58782865.31,51371660.7,57360167.89
Moghanin A,44313179.44,47782195.73,47255427.6,46877143.33,51262169.66,54921600.84,52114378.11,53629291.29,41419287.81,43823185.08,39770813.82,44450019.11,66486601.5,60648800.37,70265738.34,62908613.16,78035006.24,72091720.19,80950708.79,77978639.73,61314811.59,57595234.45,62983340.65,57897018.55,59119280.17,29119485.12,27020414.35,29214854.76,28008974.73,34386508.81,32862423.02,34294334.58,32447262.56,27684219.62,27348729.03,29175741.73,27379858.95,38689354.08,36804014.24,39717480.12,38021145.73,33881472.12,69392732.69,66068794.53,69671968.92,67301448.7,47682006.06,44789640.5,46417333.02,46843420.54,39906766.58,38770683.82,38176054.61,37536118.74,77771782.65,82490252.19,76417369.18,74506942.01,64702848.95,74696379.91,73219196.06,79807524.39,45187319.49,48435436.91,46387538.23,49134845.01,61615903.26,58849321.36,64363581.62,60187975.3,43678174.95,46259645.6,44530471.07,43369967.43,66306895.93,68786023.86,66723565.18,69090279.56,70851021.25,71604616.7,73413523.81,74544046.93,77352718.78,75494313.65,78337151.77,76573523.62,59286823.22,59415240.92,63355336.86,57646147.36,53841611.85,55335947.23,61108506.78,62267405.87,58052152.47,65034678.13
phenylpropiolic acid,40127035.09,40281791.06,38750384.81,39151131.92,15378594.99,16510107.69,15189934.82,16709007.54,16255999.04,17020040.29,16053556.75,17347138.52,12788340.08,12884048.95,12429392.85,12104602.08,26749305.46,28083830.74,28543595.87,28937136.54,13439435.59,13657228.29,13462028.93,12773737.71,18817442.75,33684328.99,32528817.33,34500847.84,32868052.15,76866130.73,74242871.34,77678234.29,76753527.67,37981568.39,36050972.18,37799549.26,36745615.24,14045270.4,14076569.77,13129058.43,12968167.11,41454162.01,24590858.32,22232658.68,24321391.95,22110517.48,53659006.14,54190985.33,55526249.61,55985665.67,26762394.32,25871731.9,25137717.34,24801885.33,40666787.03,41876372.14,41104967.48,39429493.32,34041754.96,35424774.25,34046529.13,37461040.78,45846421.84,45541972.12,44282073.65,44655579.95,33440928.09,35439694.21,34182978.99,31116654.16,12930986.72,13840694.03,12724431.25,13275645.66,19756027.51,20150731.79,19594948.66,19808682.34,41421246.74,40104520.65,43695095.63,42649854.96,77267461.06,75326123.84,78004082.59,76387339.04,48009717.95,46058525.38,46346279.24,46521701.96,35937169.63,35507171.39,36679397.68,38961496.57,32077360.28,35403716.98
NP-015980,37586168.15,39701262.05,37746261.08,40364587.64,34652753.57,36335391.31,35859087.02,35966354.67,13029734.08,13320882.83,13501948.38,13638999.0,11434789.04,10955435.05,11153774.67,10618426.57,10908339.19,10472202.5,11559046.55,11616997.03,8375284.534,8749701.774,8568452.407,8506941.379,10914678.84,8611314.723,8817039.952,8556205.462,8793998.678,10344369.07,10276163.7,9700808.19,10044003.24,9180776.997,9094525.391,9138833.236,9600356.761,8898805.473,8413640.306,8838598.951,8646226.616,9426901.906,47027027.88,46070034.64,48759144.83,45313143.01,53358088.12,51567079.17,52268063.58,53674610.46,48105605.24,48278001.66,47891525.15,46777891.96,44456856.92,47359844.26,46044864.48,45785226.79,12571337.48,12610540.2,12230221.77,12663550.42,13751519.7,13166592.12,13030393.14,13397568.24,41786230.98,42689460.57,45329083.26,41447929.27,50841846.94,50816412.3,51025912.6,49843439.18,45260293.09,48540386.62,46602188.84,48596421.27,41853919.1,42521423.9,44692863.18,43965111.17,76230738.31,76450485.09,76081995.07,75029336.27,63198647.22,63732228.92,64768464.86,63917990.56,39164439.91,44359711.56,46917428.01,49124644.06,15655623.06,16225810.17
"4,8-Dimethylquinoline",11282771.87,11410136.53,11394720.56,11655252.65,24440701.91,25276940.03,24033807.33,24372602.94,18482743.57,19816870.16,18718213.53,19183837.6,9773906.712,9106548.672,9810663.942,8877604.844,8879774.58,9198706.793,9351482.428,9688313.796,11027078.13,10774208.21,10592022.9,9963720.62,11872792.05,20709159.59,19746726.65,21790053.21,19996894.78,16360216.42,17045890.98,16696050.21,15569290.29,17013426.28,16182454.53,16379861.01,16061119.06,6753751.744,6174641.669,6027983.205,6095020.119,15125100.43,38013890.05,36048273.53,37706852.83,37340202.63,75135044.68,71945706.64,69572485.22,74207987.33,16780233.57,15776387.35,16939187.73,16275104.5,37700655.52,40937865.54,38405435.17,35166844.73,32639681.13,32959640.54,33545365.64,32568729.95,34871250.38,33032225.12,33679781.85,34473951.6,8888427.158,9580058.076,9219397.089,9202770.097,9191175.381,9320330.457,9180599.704,9135538.082,17365131.07,17924810.43,17645886.27,18816220.58,14360181.27,13378756.37,15182923.25,14156022.0,26180334.92,25012607.86,26003684.81,26272150.22,18612033.56,18024267.28,18124962.31,17580898.97,17674273.88,19177549.01,21953114.35,21682055.76,17375961.61,19137992.98
3-Formylindole,30882374.41,31526807.88,24568543.6,30749948.53,60231592.19,61102110.55,37835727.52,59760191.35,36016031.04,34646218.83,35289390.79,37035049.54,32652533.38,31311543.34,13385721.39,31087882.47,19013300.72,34778670.13,34719243.99,36576526.65,28346117.4,28932279.34,28962093.24,15805838.15,18494831.57,34387055.73,34838141.44,34090487.65,33829466.0,32727466.45,21704569.72,31758759.71,31036027.01,30894120.9,29760908.02,29990475.71,16841549.6,19549384.42,28512815.28,28089800.69,28552092.89,31179335.17,44710258.57,42008696.21,46572963.32,44256547.47,73295453.56,50911898.69,61867281.08,70044392.99,43086799.38,32273080.7,43647595.35,44318568.66,49733841.62,52129461.75,52417019.29,47315795.79,64541555.03,68577835.3,56827765.92,70538998.82,45216439.66,68195855.42,69947491.8,69223223.33,39914491.98,39573414.59,39725437.05,33479273.75,58435530.59,56854934.38,59612450.44,58067347.51,57735472.34,58357009.43,60188126.1,57750491.11,55649510.87,41599074.29,56456949.25,42669198.48,69131799.8,72522979.49,72161360.44,52586762.96,52551195.6,37224971.72,51793972.85,36002735.46,50824898.82,32014734.8,52884411.71,52309984.38,43132732.66,58131833.93
